"","Name","Line.1","Line.2","Town","County","Postcode","full_add","latitude","longitude"
"138","Thai Square Strand","148 Strand","","London","Greater London","WC2R 1JA","148 Strand  WC2R 1JA London Greater London",51.51146175,-0.118104287415429
"139","Thai Square Covent Garden","166-170","Shaftesbury Avenue","London","Greater London","WC2H 8JB","166-170 Shaftesbury Avenue WC2H 8JB London Greater London",51.5165626,-0.126314936233781
"140","Thai Square Fulham","563 Fulham Road","","London","Greater London","SW6 1ES","563 Fulham Road  SW6 1ES London Greater London",51.47989985,-0.195256366520451
"141","Thai Square Exhibition","19 Exhibition Road","","London","Greater London","SW7 2HE","19 Exhibition Road  SW7 2HE London Greater London",51.4951757,-0.173731533659509
"142","Thai Square Islington","347-349","Upper Street","London","Greater London","N1 0PD","347-349 Upper Street N1 0PD London Greater London",51.5347736,-0.1045445
"143","Thai Square Putney Bridge","2 Lower Richmond Road","","London","Greater London","SW15 1JN","2 Lower Richmond Road  SW15 1JN London Greater London",51.4667527,-0.215708063616365
"144","Zuza","229-230","Strand","London","Greater London","WC2R 1BF","229-230 Strand WC2R 1BF London Greater London",51.513576,-0.1125137
"145","Hawksmoor","5a","Air Street","London","Greater London","W1J 0AD","5a Air Street W1J 0AD London Greater London",51.5096962,-0.1361257
"146","Hawksmoor","157a","Commercial Street","London","Greater London","E1 6BJ","157a Commercial Street E1 6BJ London Greater London",51.5213603,-0.0758737
"147","Hawksmoor","3 Yeomans Row","","London","Greater London","SW3 2AL","3 Yeomans Row  SW3 2AL London Greater London",51.497312,-0.1669439
"148","Hawksmoor","11 Langley Street","","London","Greater London","WC2H 9JG","11 Langley Street  WC2H 9JG London Greater London",51.5134572,-0.1257487
"149","Hawksmoor","16 Winchester Walk","","London","Greater London","SE1 9AQ","16 Winchester Walk  SE1 9AQ London Greater London",51.5063,-0.0912496
"150","The Golden Hind","73 Marylebone Lane","","London","Greater London","W1U 2PN","73 Marylebone Lane  W1U 2PN London Greater London",51.51798885,-0.150959741485654
"151","The Athenian - Victoria","15a","Elizabeth Street","London","Greater London","SW1W 9RP","15a Elizabeth Street SW1W 9RP London Greater London",51.4928307,-0.1493089
"152","ArrosQD","64 Eastcastle Street","","London","Greater London","W1W 8NQ","64 Eastcastle Street  W1W 8NQ London Greater London",51.5164901,-0.1388464
"153","DEL'ISH RESTAURANT","161 Whitfield Street","","London","Greater London","W1T 5ET","161 Whitfield Street  W1T 5ET London Greater London",51.5218334,-0.136734
"154","The Chinese Gourmet ","31 South End","","Croydon","Greater London","CR0 1BE","31 South End  CR0 1BE Croydon Greater London",51.36674725,-0.098733417221803
"155","Mon Plaisir Restaurant Limited","19-21","Monmouth Street","London","Greater London","WC2H 9DD","19-21 Monmouth Street WC2H 9DD London Greater London",51.51450225,-0.126749171103239
"156","Vicino","189 New Kings Road","","London","Greater London","SW6 4SW","189 New Kings Road  SW6 4SW London Greater London",51.4741423,-0.1959669
"157","Vagabond Wines Charlotte Street","25 Charlotte Street","","London","Greater London","W1T 1RW","25 Charlotte Street  W1T 1RW London Greater London",51.51865655,-0.13522361206769
